frequency_hz,z0_real,z0_imag,s11_real,s11_imag,s21_real,s21_imag
3.000000000000e+09,3.089352285060e+01,-6.291231509676e-04,-3.013508779933e-03,-2.638995407938e-02,9.963120020467e-01,-4.372990935461e-02
3.015000000000e+09,3.089283300019e+01,2.312449456256e-03,-3.003359303248e-03,-2.646846987571e-02,9.963391778881e-01,-4.385999997684e-02
3.030000000000e+09,3.089224335526e+01,5.071642778335e-03,-2.992410010546e-03,-2.654902022298e-02,9.963678103261e-01,-4.399340059383e-02
3.045000000000e+09,3.089174936824e+01,7.654303071341e-03,-2.980744159788e-03,-2.663157124875e-02,9.963977617080e-01,-4.413005875158e-02
3.060000000000e+09,3.089134660152e+01,1.006626299217e-02,-2.968441393630e-03,-2.671608771780e-02,9.964289002499e-01,-4.426991965569e-02
3.075000000000e+09,3.089103072996e+01,1.231333067748e-02,-2.955577820439e-03,-2.680253320286e-02,9.964610999099e-01,-4.441292645272e-02
3.090000000000e+09,3.089079754279e+01,1.440127944933e-02,-2.942226098908e-03,-2.689087024519e-02,9.964942402550e-01,-4.455902049479e-02
3.105000000000e+09,3.089064294499e+01,1.633583816180e-02,-2.928455525646e-03,-2.698106050515e-02,9.965282063230e-01,-4.470814158822e-02
3.120000000000e+09,3.089056295806e+01,1.812268211071e-02,-2.914332125114e-03,-2.707306490326e-02,9.965628884801e-01,-4.486022822644e-02
3.135000000000e+09,3.089055372051e+01,1.976742462601e-02,-2.899918741363e-03,-2.716684375187e-02,9.965981822752e-01,-4.501521780794e-02
3.150000000000e+09,3.089061148773e+01,2.127560926382e-02,-2.885275131099e-03,-2.726235687801e-02,9.966339882918e-01,-4.517304683959e-02
3.165000000000e+09,3.089073263159e+01,2.265270255880e-02,-2.870458057575e-03,-2.735956373771e-02,9.966702119986e-01,-4.533365112612e-02
3.180000000000e+09,3.089091363965e+01,2.390408743478e-02,-2.855521384926e-03,-2.745842352203e-02,9.967067635983e-01,-4.549696594618e-02
3.195000000000e+09,3.089115111409e+01,2.503505720035e-02,-2.840516172558e-03,-2.755889525536e-02,9.967435578773e-01,-4.566292621571e-02
3.210000000000e+09,3.089144177028e+01,2.605081008159e-02,-2.825490769257e-03,-2.766093788617e-02,9.967805140542e-01,-4.583146663900e-02
3.225000000000e+09,3.089178243519e+01,2.695644431317e-02,-2.810490906720e-03,-2.776451037082e-02,9.968175556299e-01,-4.600252184828e-02
3.240000000000e+09,3.089217004557e+01,2.775695381506e-02,-2.795559792230e-03,-2.786957175040e-02,9.968546102389e-01,-4.617602653216e-02
3.255000000000e+09,3.089260164588e+01,2.845722435114e-02,-2.780738200258e-03,-2.797608122142e-02,9.968916095017e-01,-4.635191555369e-02
3.270000000000e+09,3.089307438614e+01,2.906203016450e-02,-2.766064562761e-03,-2.808399820028e-02,9.969284888796e-01,-4.653012405846e-02
3.285000000000e+09,3.089358551967e+01,2.957603118306e-02,-2.751575058015e-03,-2.819328238211e-02,9.969651875311e-01,-4.671058757341e-02
3.300000000000e+09,3.089413240057e+01,3.000377055509e-02,-2.737303697814e-03,-2.830389379422e-02,9.970016481714e-01,-4.689324209665e-02
3.315000000000e+09,3.089471248132e+01,3.034967273683e-02,-2.723282412913e-03,-2.841579284448e-02,9.970378169342e-01,-4.707802417914e-02
3.330000000000e+09,3.089532331020e+01,3.061804191784e-02,-2.709541136584e-03,-2.852894036489e-02,9.970736432369e-01,-4.726487099841e-02
3.345000000000e+09,3.089596252865e+01,3.081306087871e-02,-2.696107886222e-03,-2.864329765078e-02,9.971090796481e-01,-4.745372042492e-02
3.360000000000e+09,3.089662786872e+01,3.093879015707e-02,-2.683008842899e-03,-2.875882649571e-02,9.971440817592e-01,-4.764451108160e-02
3.375000000000e+09,3.089731715034e+01,3.099916764021e-02,-2.670268428815e-03,-2.887548922255e-02,9.971786080582e-01,-4.783718239689e-02
3.390000000000e+09,3.089802827880e+01,3.099800840014e-02,-2.657909382610e-03,-2.899324871083e-02,9.972126198081e-01,-4.803167465169e-02
3.405000000000e+09,3.089875924199e+01,3.093900487241e-02,-2.645952832487e-03,-2.911206842072e-02,9.972460809281e-01,-4.822792902080e-02
3.420000000000e+09,3.089950810795e+01,3.082572731088e-02,-2.634418367151e-03,-2.923191241380e-02,9.972789578779e-01,-4.842588760897e-02
3.435000000000e+09,3.090027302222e+01,3.066162446165e-02,-2.623324104521e-03,-2.935274537096e-02,9.973112195464e-01,-4.862549348216e-02
3.450000000000e+09,3.090105220536e+01,3.045002452519e-02,-2.612686758255e-03,-2.947453260745e-02,9.973428371435e-01,-4.882669069424e-02
3.465000000000e+09,3.090184395047e+01,3.019413627090e-02,-2.602521702048e-03,-2.959724008546e-02,9.973737840949e-01,-4.902942430946e-02
3.480000000000e+09,3.090264662079e+01,2.989705042890e-02,-2.592843031771e-03,-2.972083442436e-02,9.974040359416e-01,-4.923364042106e-02
3.495000000000e+09,3.090345864736e+01,2.956174116055e-02,-2.583663625429e-03,-2.984528290875e-02,9.974335702413e-01,-4.943928616625e-02
3.510000000000e+09,3.090427852668e+01,2.919106780437e-02,-2.574995200991e-03,-2.997055349453e-02,9.974623664750e-01,-4.964630973787e-02
3.525000000000e+09,3.090510481857e+01,2.878777663686e-02,-2.566848372109e-03,-3.009661481312e-02,9.974904059551e-01,-4.985466039306e-02
3.540000000000e+09,3.090593614396e+01,2.835450289078e-02,-2.559232701780e-03,-3.022343617400e-02,9.975176717386e-01,-5.006428845897e-02
3.555000000000e+09,3.090677118281e+01,2.789377276835e-02,-2.552156753973e-03,-3.035098756575e-02,9.975441485421e-01,-5.027514533610e-02
3.570000000000e+09,3.090760867213e+01,2.740800566549e-02,-2.545628143270e-03,-3.047923965563e-02,9.975698226610e-01,-5.048718349906e-02
3.585000000000e+09,3.090844740400e+01,2.689951637509e-02,-2.539653582581e-03,-3.060816378788e-02,9.975946818911e-01,-5.070035649540e-02
3.600000000000e+09,3.090928622372e+01,2.637051743507e-02,-2.534238928954e-03,-3.073773198090e-02,9.976187154540e-01,-5.091461894228e-02
3.615000000000e+09,3.091012402802e+01,2.582312153659e-02,-2.529389227556e-03,-3.086791692333e-02,9.976419139245e-01,-5.112992652150e-02
3.630000000000e+09,3.091095976328e+01,2.525934390557e-02,-2.525108753844e-03,-3.099869196921e-02,9.976642691622e-01,-5.134623597285e-02
3.645000000000e+09,3.091179242392e+01,2.468110484839e-02,-2.521401054023e-03,-3.113003113222e-02,9.976857742444e-01,-5.156350508604e-02
3.660000000000e+09,3.091262105076e+01,2.409023220814e-02,-2.518268983796e-03,-3.126190907925e-02,9.977064234030e-01,-5.178169269130e-02
