frequency_hz,z0_real,z0_imag,s11_real,s11_imag,s21_real,s21_imag
1.500000000000e+09,4.985527007102e+01,-1.345760887456e-01,-3.038792078306e-05,-2.910734783935e-04,9.987328952461e-01,-4.909545121949e-02
1.526250000000e+09,4.985279774984e+01,-1.256781272280e-01,-3.188857290148e-05,-2.954719769905e-04,9.986913112966e-01,-4.995340717522e-02
1.552500000000e+09,4.985159308596e+01,-1.189864984464e-01,-3.300525409076e-05,-2.995943042749e-04,9.986491659053e-01,-5.081195597821e-02
1.578750000000e+09,4.985014867412e+01,-1.142511228944e-01,-3.367956694587e-05,-3.037271764789e-04,9.986062298116e-01,-5.167098962566e-02
1.605000000000e+09,4.984743781758e+01,-1.104373149497e-01,-3.402668901438e-05,-3.081041578145e-04,9.985623664228e-01,-5.253034502845e-02
1.631250000000e+09,4.984326961201e+01,-1.061060641223e-01,-3.424609002964e-05,-3.128248213650e-04,9.985175238955e-01,-5.338985905643e-02
1.657500000000e+09,4.983841499872e+01,-9.994440767710e-02,-3.451494402213e-05,-3.178573605816e-04,9.984717029032e-01,-5.424939841900e-02
1.683750000000e+09,4.983442941938e+01,-9.132942925979e-02,-3.492419718656e-05,-3.231062184366e-04,9.984249243424e-01,-5.510885914466e-02
1.710000000000e+09,4.983315349705e+01,-8.075345129526e-02,-3.548452730837e-05,-3.284926468739e-04,9.983772167480e-01,-5.596814814650e-02
1.736250000000e+09,4.983598327019e+01,-6.991545351227e-02,-3.618465673213e-05,-3.339955871428e-04,9.983286279037e-01,-5.682716892595e-02
1.762500000000e+09,4.984313356885e+01,-6.134629635053e-02,-3.705398722548e-05,-3.396305877997e-04,9.982792474989e-01,-5.768582955299e-02
1.788750000000e+09,4.985319737653e+01,-5.759483442246e-02,-3.818197079565e-05,-3.453861590960e-04,9.982292177836e-01,-5.854407552670e-02
1.815000000000e+09,4.986326074601e+01,-6.020446889776e-02,-3.967623569444e-05,-3.511650832935e-04,9.981787132812e-01,-5.940193141489e-02
1.841250000000e+09,4.986965400438e+01,-6.885894271098e-02,-4.158188524952e-05,-3.567766304845e-04,9.981278875644e-01,-6.025952412216e-02
1.867500000000e+09,4.986916272370e+01,-8.108707916662e-02,-4.381159654681e-05,-3.619957460223e-04,9.980768063259e-01,-6.111706465391e-02
1.893750000000e+09,4.986028854531e+01,-9.275549763814e-02,-4.613423092584e-05,-3.666646212073e-04,9.980253996829e-01,-6.197478396136e-02
1.920000000000e+09,4.984405166451e+01,-9.928187721549e-02,-4.823946258374e-05,-3.707840782531e-04,9.979734640018e-01,-6.283284325806e-02
1.946250000000e+09,4.982394174754e+01,-9.717756363326e-02,-4.985421336757e-05,-3.745430310652e-04,9.979207237112e-01,-6.369125719398e-02
1.972500000000e+09,4.980494217727e+01,-8.533323534659e-02,-5.085658581016e-05,-3.782639395789e-04,9.978669349673e-01,-6.454986883470e-02
1.998750000000e+09,4.979194403877e+01,-6.551809807445e-02,-5.133117406564e-05,-3.822847984098e-04,9.978119895931e-01,-6.540839603555e-02
2.025000000000e+09,4.978813670554e+01,-4.186623063263e-02,-5.153729983541e-05,-3.868309627236e-04,9.977559720643e-01,-6.626653719135e-02
2.051250000000e+09,4.979397780956e+01,-1.952698692092e-02,-5.180421564959e-05,-3.919357002635e-04,9.976991391259e-01,-6.712409514106e-02
2.077500000000e+09,4.980711675800e+01,-2.972908021542e-03,-5.240233764727e-05,-3.974441603975e-04,9.976418245786e-01,-6.798106586804e-02
2.103750000000e+09,4.982329041519e+01,5.425429116531e-03,-5.344925501368e-05,-4.030945961710e-04,9.975843060683e-01,-6.883765076533e-02
2.130000000000e+09,4.983786045644e+01,6.048926899600e-03,-5.488954102082e-05,-4.086345855041e-04,9.975266899549e-01,-6.969418334561e-02
2.156250000000e+09,4.984742435486e+01,1.673091016186e-03,-5.654963085255e-05,-4.139167766917e-04,9.974688646274e-01,-7.055099914200e-02
2.182500000000e+09,4.985089127700e+01,-3.747157058302e-03,-5.823341511225e-05,-4.189337222930e-04,9.974105436715e-01,-7.140830358744e-02
2.208750000000e+09,4.984961803906e+01,-6.655646980012e-03,-5.980868674950e-05,-4.237851023444e-04,9.973513809427e-01,-7.226609439022e-02
2.235000000000e+09,4.984659375293e+01,-5.190977863676e-03,-6.124556473714e-05,-4.286043645313e-04,9.972911079302e-01,-7.312417111405e-02
2.261250000000e+09,4.984506580838e+01,3.024581764137e-04,-6.259757555786e-05,-4.334880719195e-04,9.972296344814e-01,-7.398222613649e-02
2.287500000000e+09,4.984720913875e+01,7.685675723803e-03,-6.394700419740e-05,-4.384630725079e-04,9.971670712249e-01,-7.483997567749e-02
2.313750000000e+09,4.985336641010e+01,1.410124211716e-02,-6.535173982712e-05,-4.435006242241e-04,9.971036675909e-01,-7.569727341220e-02
2.340000000000e+09,4.986209995935e+01,1.721661868371e-02,-6.682398293378e-05,-4.485586738933e-04,9.970396964757e-01,-7.655415928773e-02
2.366250000000e+09,4.987094946989e+01,1.612438278015e-02,-6.834761920181e-05,-4.536194479097e-04,9.969753382380e-01,-7.741082707452e-02
2.392500000000e+09,4.987752135382e+01,1.157444917723e-02,-6.991561575719e-05,-4.586964183850e-04,9.969106135687e-01,-7.826753086166e-02
2.418750000000e+09,4.988043502729e+01,5.509961102685e-03,-7.155658929002e-05,-4.638072653933e-04,9.968453895223e-01,-7.912447600101e-02
2.445000000000e+09,4.987974937615e+01,1.692687714942e-04,-7.332759387895e-05,-4.689334858000e-04,9.967794485684e-01,-7.998174290828e-02
2.471250000000e+09,4.987674750449e+01,-2.821151397860e-03,-7.527307757309e-05,-4.739980909025e-04,9.967125834922e-01,-8.083927276875e-02
2.497500000000e+09,4.987325001274e+01,-2.977082367431e-03,-7.737393089328e-05,-4.788836085255e-04,9.966446734183e-01,-8.169691323599e-02
2.523750000000e+09,4.987081399600e+01,-9.361933823484e-04,-7.952091919094e-05,-4.834883713405e-04,9.965757101570e-01,-8.255449515638e-02
2.550000000000e+09,4.987017655271e+01,2.021716160619e-03,-8.153657763249e-05,-4.877937976817e-04,9.965057710247e-01,-8.341190073830e-02
2.576250000000e+09,4.987114210102e+01,4.635239009856e-03,-8.324367602466e-05,-4.919040804437e-04,9.964349601131e-01,-8.426909304461e-02
2.602500000000e+09,4.987288906975e+01,6.187142655287e-03,-8.455073892275e-05,-4.960299465821e-04,9.963633521802e-01,-8.512609973620e-02
2.628750000000e+09,4.987449047579e+01,6.686290470483e-03,-8.551149545428e-05,-5.004155760537e-04,9.962909671421e-01,-8.598296792502e-02
2.655000000000e+09,4.987537658027e+01,6.681558704633e-03,-8.632405773288e-05,-5.052382183266e-04,9.962177834042e-01,-8.683971966798e-02
2.681250000000e+09,4.987553334113e+01,6.857365401072e-03,-8.726358522388e-05,-5.105270953289e-04,9.961437763142e-01,-8.769633356919e-02
2.707500000000e+09,4.987538587048e+01,7.643484768797e-03,-8.857525384442e-05,-5.161420223348e-04,9.960689554832e-01,-8.855276069597e-02
2.733750000000e+09,4.987547828618e+01,9.031548837581e-03,-9.037540227898e-05,-5.218250425434e-04,9.959933774950e-01,-8.940896270049e-02
2.760000000000e+09,4.987614819085e+01,1.065901020903e-02,-9.260652400759e-05,-5.273035679468e-04,9.959171260884e-01,-9.026494776126e-02
2.786250000000e+09,4.987736953875e+01,1.207509228832e-02,-9.506692423408e-05,-5.323985881684e-04,9.958402710904e-01,-9.112078188298e-02
2.812500000000e+09,4.987882702380e+01,1.301823979047e-02,-9.750061964872e-05,-5.370891068571e-04,9.957628295965e-01,-9.197656748833e-02
2.838750000000e+09,4.988015361709e+01,1.354699465474e-02,-9.970500703129e-05,-5.415053063524e-04,9.956847517637e-01,-9.283239977555e-02
2.865000000000e+09,4.988117895765e+01,1.396070247756e-02,-1.016068189399e-04,-5.458572160062e-04,9.956059401475e-01,-9.368832379849e-02
2.891250000000e+09,4.988203968275e+01,1.456872404979e-02,-1.032739999409e-04,-5.503356739246e-04,9.955262933641e-01,-9.454431506464e-02
2.917500000000e+09,4.988308739627e+01,1.545128342588e-02,-1.048632687825e-04,-5.550334035427e-04,9.954457518601e-01,-9.540029403284e-02
2.943750000000e+09,4.988464753955e+01,1.635774625699e-02,-1.065338626131e-04,-5.599212619427e-04,9.953643225288e-01,-9.625616712405e-02
2.970000000000e+09,4.988676828556e+01,1.680996384195e-02,-1.083720811210e-04,-5.648854548431e-04,9.952820700919e-01,-9.711187326286e-02
2.996250000000e+09,4.988910734607e+01,1.636368832402e-02,-1.103624618302e-04,-5.698011065098e-04,9.951990803650e-01,-9.796741256503e-02
3.022500000000e+09,4.989103350963e+01,1.489155964024e-02,-1.124152498952e-04,-5.746013530225e-04,9.951154146092e-01,-9.882284348654e-02
3.048750000000e+09,4.989190692166e+01,1.273279605363e-02,-1.144303970686e-04,-5.793065861671e-04,9.950310779463e-01,-9.967825110084e-02
3.075000000000e+09,4.989140522611e+01,1.061678828048e-02,-1.163608092633e-04,-5.840017256695e-04,9.949460167654e-01,-1.005337034769e-01
3.101250000000e+09,4.988973121142e+01,9.379922576754e-03,-1.182403689435e-04,-5.887776038590e-04,9.948601448497e-01,-1.013892181444e-01
3.127500000000e+09,4.988758922267e+01,9.601116931350e-03,-1.201629693183e-04,-5.936708730302e-04,9.947733837750e-01,-1.022447542797e-01
3.153750000000e+09,4.988592778962e+01,1.132717965358e-02,-1.222258341824e-04,-5.986361845065e-04,9.946856971609e-01,-1.031002324610e-01
3.180000000000e+09,4.988555909375e+01,1.402025939707e-02,-1.244693599829e-04,-6.035658527554e-04,9.945971030979e-01,-1.039555701790e-01
3.206250000000e+09,4.988682530268e+01,1.675649747362e-02,-1.268469524007e-04,-6.083461818715e-04,9.945076612924e-01,-1.048107147575e-01
3.232500000000e+09,4.988945993588e+01,1.858945994738e-02,-1.292417695209e-04,-6.129200074766e-04,9.944174442396e-01,-1.056656587195e-01
3.258750000000e+09,4.989270269818e+01,1.891889705695e-02,-1.315221369589e-04,-6.173218925292e-04,9.943265083571e-01,-1.065204332715e-01
3.285000000000e+09,4.989561243137e+01,1.770656445713e-02,-1.336070469755e-04,-6.216669846550e-04,9.942348785893e-01,-1.073750871658e-01
3.311250000000e+09,4.989743717385e+01,1.545319476928e-02,-1.355080592251e-04,-6.260987456238e-04,9.941425507602e-01,-1.082296644238e-01
3.337500000000e+09,4.989788093226e+01,1.295961274362e-02,-1.373263169475e-04,-6.307218143697e-04,9.940495056741e-01,-1.090841924166e-01
3.363750000000e+09,4.989716117490e+01,1.098936162818e-02,-1.392064094342e-04,-6.355534162932e-04,9.939557235557e-01,-1.099386835861e-01
3.390000000000e+09,4.989585157078e+01,9.985970647208e-03,-1.412703481115e-04,-6.405167461369e-04,9.938611895459e-01,-1.107931450349e-01
3.416250000000e+09,4.989460113262e+01,9.960532458741e-03,-1.435640684101e-04,-6.454782909101e-04,9.937658887086e-01,-1.116475858619e-01
3.442500000000e+09,4.989386755061e+01,1.057700963537e-02,-1.460414617231e-04,-6.503094285478e-04,9.936697971628e-01,-1.125020149000e-01
3.468750000000e+09,4.989378075235e+01,1.136974287004e-02,-1.485914250446e-04,-6.549417577702e-04,9.935728792444e-01,-1.133564293954e-01
3.495000000000e+09,4.989417893938e+01,1.197443534522e-02,-1.510921882034e-04,-6.593904466902e-04,9.934750968190e-01,-1.142108029557e-01
3.521250000000e+09,4.989477302872e+01,1.226192676895e-02,-1.534649974477e-04,-6.637371740626e-04,9.933764282643e-01,-1.150650835656e-01
3.547500000000e+09,4.989533852844e+01,1.232432820780e-02,-1.557016989746e-04,-6.680845692954e-04,9.932768866021e-01,-1.159192075806e-01
3.573750000000e+09,4.989583153262e+01,1.234262792361e-02,-1.578557205934e-04,-6.725070078208e-04,9.931765241495e-01,-1.167731258456e-01
3.600000000000e+09,4.989637526250e+01,1.242331155768e-02,-1.600050070545e-04,-6.770221366356e-04,9.930754169271e-01,-1.176268291972e-01
3.626250000000e+09,4.989713729992e+01,1.250073694550e-02,-1.622086633691e-04,-6.815947770643e-04,9.929736331927e-01,-1.184803582930e-01
3.652500000000e+09,4.989817634261e+01,1.235994710680e-02,-1.644800862474e-04,-6.861672683592e-04,9.928712007121e-01,-1.193337892092e-01
3.678750000000e+09,4.989935142598e+01,1.176555034562e-02,-1.667885934516e-04,-6.906972811495e-04,9.927680904846e-01,-1.201871987652e-01
3.705000000000e+09,4.990035071996e+01,1.062308491520e-02,-1.690854597376e-04,-6.951820612340e-04,9.926642279710e-01,-1.210406254523e-01
3.731250000000e+09,4.990083131227e+01,9.080115323886e-03,-1.713376484478e-04,-6.996572304304e-04,9.925595291536e-01,-1.218940462795e-01
3.757500000000e+09,4.990060015571e+01,7.504250494552e-03,-1.735497906865e-04,-7.041730270504e-04,9.924539449880e-01,-1.227473835179e-01
3.783750000000e+09,4.989974096417e+01,6.338683169834e-03,-1.757628764229e-04,-7.087629817474e-04,9.923474916168e-01,-1.236005407108e-01
3.810000000000e+09,4.989861544603e+01,5.900372647852e-03,-1.780317419333e-04,-7.134231819246e-04,9.922402491916e-01,-1.244534516744e-01
3.836250000000e+09,4.989772822339e+01,6.218690093285e-03,-1.803950671618e-04,-7.181133328430e-04,9.921323272764e-01,-1.253061179533e-01
3.862500000000e+09,4.989751250273e+01,6.996452427335e-03,-1.828550420877e-04,-7.227781256273e-04,9.920238122212e-01,-1.261586143227e-01
3.888750000000e+09,4.989813430552e+01,7.718635130253e-03,-1.853776809752e-04,-7.273761981378e-04,9.919147224513e-01,-1.270110571509e-01
3.915000000000e+09,4.989940707905e+01,7.864501963818e-03,-1.879128073909e-04,-7.319002933904e-04,9.918049952651e-01,-1.278635494162e-01
3.941250000000e+09,4.990085904175e+01,7.129709872610e-03,-1.904218193463e-04,-7.363777685315e-04,9.916945138921e-01,-1.287161291589e-01
3.967500000000e+09,4.990192620042e+01,5.558975363534e-03,-1.928974364846e-04,-7.408519641234e-04,9.915831632730e-01,-1.295687479587e-01
3.993750000000e+09,4.990218682417e+01,3.529598307240e-03,-1.953646359499e-04,-7.453556402321e-04,9.914708875806e-01,-1.304212920297e-01
4.020000000000e+09,4.990153450654e+01,1.593050724878e-03,-1.978628595852e-04,-7.498918351567e-04,9.913577201971e-01,-1.312736372683e-01
4.046250000000e+09,4.990021514302e+01,2.449950914028e-04,-2.004201532954e-04,-7.544329840785e-04,9.912437695465e-01,-1.321257117323e-01
4.072500000000e+09,4.989871463309e+01,-2.755378730521e-04,-2.030343355440e-04,-7.589386379598e-04,9.911291660235e-01,-1.329775339574e-01
4.098750000000e+09,4.989754988529e+01,-7.267846000943e-05,-2.056722409532e-04,-7.633815539280e-04,9.910139954087e-01,-1.338292064365e-01
4.125000000000e+09,4.989705569975e+01,4.663875344095e-04,-2.082878924780e-04,-7.677671196824e-04,9.908982522092e-01,-1.346808655662e-01
4.151250000000e+09,4.989725765232e+01,8.459868937075e-04,-2.108497835416e-04,-7.721346188295e-04,9.907818376800e-01,-1.355326116212e-01
4.177500000000e+09,4.989787973230e+01,6.716938910694e-04,-2.133621452448e-04,-7.765387528795e-04,9.906646056383e-01,-1.363844535061e-01
4.203750000000e+09,4.989847557448e+01,-1.944035643036e-04,-2.158680031570e-04,-7.810206952491e-04,9.905464350978e-01,-1.372362970307e-01
4.230000000000e+09,4.989862063085e+01,-1.593950018204e-03,-2.184313933765e-04,-7.855838937986e-04,9.904272943310e-01,-1.380879847066e-01
4.256250000000e+09,4.989808116131e+01,-3.156289013394e-03,-2.211071689634e-04,-7.901876880362e-04,9.903072638381e-01,-1.389393695124e-01
4.282500000000e+09,4.989689189190e+01,-4.461593823987e-03,-2.239135054423e-04,-7.947627355814e-04,9.901865049580e-01,-1.397903874397e-01
4.308750000000e+09,4.989531819682e+01,-5.208832919394e-03,-2.268210205671e-04,-7.992410673546e-04,9.900651873551e-01,-1.406410929676e-01
4.335000000000e+09,4.989372944952e+01,-5.318788747507e-03,-2.297640616677e-04,-8.035861626463e-04,9.899434093243e-01,-1.414916387131e-01
4.361250000000e+09,4.989244500204e+01,-4.936404428173e-03,-2.326686175000e-04,-8.078085395562e-04,9.898211493692e-01,-1.423422073092e-01
4.387500000000e+09,4.989161939961e+01,-4.342746655012e-03,-2.354832357153e-04,-8.119597821306e-04,9.896982732284e-01,-1.431929270254e-01
4.413750000000e+09,4.989120966950e+01,-3.823736527196e-03,-2.381983114797e-04,-8.161086828154e-04,9.895745941750e-01,-1.440438111432e-01
4.440000000000e+09,4.989102810269e+01,-3.555643699371e-03,-2.408454338929e-04,-8.203116877532e-04,9.894499587312e-01,-1.448947502636e-01
4.466250000000e+09,4.989084741227e+01,-3.553262709105e-03,-2.434786318019e-04,-8.245918706789e-04,9.893243174974e-01,-1.457455616379e-01
4.492500000000e+09,4.989050678932e+01,-3.694604804986e-03,-2.461480224795e-04,-8.289355012255e-04,9.891977477413e-01,-1.465960724203e-01
4.518750000000e+09,4.988997309866e+01,-3.801499618306e-03,-2.488792180065e-04,-8.333059178017e-04,9.890704173960e-01,-1.474461976522e-01
4.545000000000e+09,4.988933624432e+01,-3.733756980007e-03,-2.516677722254e-04,-8.376658766124e-04,9.889425079926e-01,-1.482959765924e-01
4.571250000000e+09,4.988874885941e+01,-3.453524666840e-03,-2.544894774189e-04,-8.419961518228e-04,9.888141332580e-01,-1.491455512364e-01
4.597500000000e+09,4.988834379664e+01,-3.034409102383e-03,-2.573191098303e-04,-8.463013236632e-04,9.886852914445e-01,-1.499950985461e-01
4.623750000000e+09,4.988816917224e+01,-2.617024135049e-03,-2.601465378897e-04,-8.506013238827e-04,9.885558725114e-01,-1.508447495501e-01
4.650000000000e+09,4.988816904797e+01,-2.336255565443e-03,-2.629815853472e-04,-8.549150946526e-04,9.884257145976e-01,-1.516945336768e-01
4.676250000000e+09,4.988821506198e+01,-2.255912539293e-03,-2.658459668841e-04,-8.592465041185e-04,9.882946809500e-01,-1.525443732889e-01
4.702500000000e+09,4.988817121368e+01,-2.340445447620e-03,-2.687579922885e-04,-8.635806552443e-04,9.881627198539e-01,-1.533941283480e-01
4.728750000000e+09,4.988796037354e+01,-2.475053207050e-03,-2.717195356043e-04,-8.678923343332e-04,9.880298799653e-01,-1.542436669929e-01
4.755000000000e+09,4.988760186721e+01,-2.523509450896e-03,-2.747130826939e-04,-8.721612837869e-04,9.878962764052e-01,-1.550929263704e-01
4.781250000000e+09,4.988720326859e+01,-2.396818744157e-03,-2.777106610753e-04,-8.763851671188e-04,9.877620273536e-01,-1.559419345752e-01
4.807500000000e+09,4.988690980241e+01,-2.101636974350e-03,-2.806895923043e-04,-8.805825187507e-04,9.876271945546e-01,-1.567907852523e-01
4.833750000000e+09,4.988683294871e+01,-1.746227992404e-03,-2.836461120295e-04,-8.847836991340e-04,9.874917576264e-01,-1.576395805690e-01
4.860000000000e+09,4.988698887390e+01,-1.499458240716e-03,-2.865990617774e-04,-8.890146413434e-04,9.873556336329e-01,-1.584883736661e-01
4.886250000000e+09,4.988727401807e+01,-1.517771852696e-03,-2.895813360022e-04,-8.932822278013e-04,9.872187296874e-01,-1.593371408412e-01
4.912500000000e+09,4.988749104574e+01,-1.868820882703e-03,-2.926234894826e-04,-8.975692910843e-04,9.870809995550e-01,-1.601857974168e-01
4.938750000000e+09,4.988741873987e+01,-2.483315796297e-03,-2.957381787995e-04,-9.018420211838e-04,9.869424736819e-01,-1.610342481167e-01
4.965000000000e+09,4.988690150543e+01,-3.157465108363e-03,-2.989136342337e-04,-9.060658808320e-04,9.868032463391e-01,-1.618824447258e-01
4.991250000000e+09,4.988592466526e+01,-3.610121294792e-03,-3.021194578930e-04,-9.102216265015e-04,9.866634261226e-01,-1.627304199760e-01
5.017500000000e+09,4.988464458932e+01,-3.577828778481e-03,-3.053214343897e-04,-9.143131129268e-04,9.865230753105e-01,-1.635782788193e-01
5.043750000000e+09,4.988335751591e+01,-2.915036815809e-03,-3.084973177127e-04,-9.183631132522e-04,9.863821697325e-01,-1.644261501574e-01
5.070000000000e+09,4.988241291256e+01,-1.662066294418e-03,-3.116452440323e-04,-9.223998903331e-04,9.862406008043e-01,-1.652741225253e-01
5.096250000000e+09,4.988209864201e+01,-5.252408294872e-05,-3.147806215052e-04,-9.264421664872e-04,9.860982203264e-01,-1.661221958343e-01
5.122500000000e+09,4.988253796618e+01,1.547658366230e-03,-3.179237342083e-04,-9.304908234283e-04,9.859549071831e-01,-1.669702737709e-01
5.148750000000e+09,4.988363703999e+01,2.752361495666e-03,-3.210853859103e-04,-9.345317950583e-04,9.858106239496e-01,-1.678182016431e-01
5.175000000000e+09,4.988510537689e+01,3.280973548247e-03,-3.242589498631e-04,-9.385483243635e-04,9.856654360995e-01,-1.686658322855e-01
5.201250000000e+09,4.988654578238e+01,3.052481559346e-03,-3.274236305576e-04,-9.425354632946e-04,9.855194845531e-01,-1.695130890787e-01
5.227500000000e+09,4.988758377435e+01,2.212155212845e-03,-3.305575051076e-04,-9.465082718403e-04,9.853729246769e-01,-1.703599967546e-01
5.253750000000e+09,4.988799000377e+01,1.078969886105e-03,-3.336533510357e-04,-9.504984127103e-04,9.852258605263e-01,-1.712066664176e-01
5.280000000000e+09,4.988775006997e+01,3.193388449492e-05,-3.367283809391e-04,-9.545400464410e-04,9.850783046132e-01,-1.720532431336e-01
5.306250000000e+09,4.988705524585e+01,-6.222483440208e-04,-3.398218487841e-04,-9.586518341912e-04,9.849301804266e-01,-1.728998417039e-01
5.332500000000e+09,4.988621821746e+01,-7.495958626384e-04,-3.429806345922e-04,-9.628243264461e-04,9.847813641315e-01,-1.737465006404e-01
5.358750000000e+09,4.988554785186e+01,-4.189836020214e-04,-3.462391921565e-04,-9.670197109746e-04,9.846317436717e-01,-1.745931742130e-01
